Generation,Island_Alpha_Peak_MS,Island_Beta_Peak_MS,Island_Gamma_Peak_MS,Status
1,222.431,15.138,14.21,EVOLVING
2,222.431,15.138,17.261,EVOLVING
3,222.431,22.314,17.261,EVOLVING
4,222.431,222.431,222.431,EVOLVING
5,222.431,222.431,222.431,EVOLVING
6,222.431,222.431,222.431,EVOLVING
7,222.431,222.431,222.431,EVOLVING
8,222.431,222.431,222.431,EVOLVING
9,222.431,222.431,222.431,EVOLVING
10,222.431,222.431,222.431,EVOLVING
11,222.431,222.431,222.431,EVOLVING
12,222.431,222.431,222.431,EVOLVING
13,222.431,222.431,222.431,EVOLVING
14,222.431,222.431,222.431,EVOLVING
15,222.431,222.431,222.431,EVOLVING
16,222.431,222.431,222.431,EVOLVING
17,222.431,222.431,222.431,EVOLVING
18,222.431,222.431,222.431,EVOLVING
19,222.431,222.431,222.431,EVOLVING
20,222.431,222.431,222.431,EVOLVING
21,222.431,222.431,222.431,EVOLVING
22,222.431,222.431,222.431,EVOLVING
23,222.431,222.431,222.431,EVOLVING
24,222.431,222.431,222.431,EVOLVING
25,222.431,222.431,222.431,EVOLVING
26,222.431,222.431,222.431,EVOLVING
27,222.431,222.431,222.431,EVOLVING
28,222.431,222.431,222.431,EVOLVING
29,222.431,222.431,222.431,EVOLVING
30,222.431,222.431,222.431,EVOLVING
