Generation,Island_Alpha_Peak_MS,Island_Beta_Peak_MS,Island_Gamma_Peak_MS,Status
1,209.266,60.565,0.0,EVOLVING
2,209.266,60.565,0.0,EVOLVING
3,209.266,60.565,0.0,EVOLVING
4,209.266,209.266,209.266,EVOLVING
5,209.266,209.266,209.266,EVOLVING
6,209.266,209.266,209.266,EVOLVING
7,209.266,375.049,209.266,EVOLVING
8,395.302,375.049,209.266,EVOLVING
9,395.302,375.049,209.266,EVOLVING
10,395.302,395.302,395.302,EVOLVING
11,395.302,395.302,395.302,EVOLVING
12,395.302,395.302,395.302,EVOLVING
13,395.302,2000.0,395.302,TLE_ACHIEVED
