Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Gamma_Sawtooth;Alpha_Reversed;Beta_AllEqual,17.563,8.399,13.608,15.829,10.467,22.31,50.348,56.657,57.343,10.682,EVOLVING,2000.0,210,72,282,282
2,Gamma_Sawtooth;Alpha_HashCollision;Gamma_Disconnected,98.437,8.399,13.608,15.829,10.467,104.877,50.348,56.657,93.603,10.682,EVOLVING,2000.0,210,78,288,570
3,Gamma_LoadFactor;Alpha_StarGraph;Beta_AllEqual,98.437,8.399,151.374,142.476,10.467,104.877,50.348,152.385,93.603,10.682,EVOLVING,2000.0,208,79,287,857
4,Gamma_Sawtooth;Alpha_StarGraph;Beta_ModuloStep,98.437,170.256,151.374,180.225,10.467,104.877,50.348,152.385,172.046,10.682,EVOLVING,2000.0,221,77,298,1155
5,Alpha_HashCollision;Gamma_LoadFactor;Delta_Extremist,231.935,170.256,235.947,180.225,10.467,104.877,50.348,152.385,172.046,209.152,EVOLVING,2000.0,213,75,288,1443
6,Gamma_Disconnected;Alpha_HashCollision;Gamma_Sawtooth,246.319,170.256,235.947,180.225,10.467,263.792,50.348,152.385,256.503,209.152,EVOLVING,2000.0,211,73,284,1727
7,Alpha_HashCollision;Beta_ModuloStep;Alpha_StarGraph,307.173,307.238,235.947,310.005,10.467,263.792,50.348,152.385,256.503,209.152,EVOLVING,2000.0,216,78,294,2021
8,Beta_LineChain;Alpha_Reversed;Gamma_Disconnected,307.173,307.238,235.947,310.005,303.296,303.75,298.787,152.385,256.503,209.152,EVOLVING,2000.0,214,76,290,2311
9,Gamma_LoadFactor;Alpha_StarGraph;Beta_LineChain,307.173,307.238,381.333,362.882,357.407,303.75,298.787,152.385,256.503,209.152,EVOLVING,2000.0,220,76,296,2607
10,Delta_Extremist;Beta_ModuloStep;Beta_LineChain,307.173,327.567,381.333,362.882,357.407,303.75,298.787,152.385,256.503,389.023,EVOLVING,2000.0,218,79,297,2904
