Generation,Island_Alpha_Peak_MS,Island_Beta_Peak_MS,Island_Gamma_Peak_MS,Status
1,20.308,116.264,0.0,EVOLVING
2,20.308,116.264,0.0,EVOLVING
3,22.959,116.264,0.0,EVOLVING
4,116.264,116.264,116.264,EVOLVING
5,116.264,116.264,116.264,EVOLVING
6,116.264,116.264,116.264,EVOLVING
7,116.264,116.264,116.264,EVOLVING
8,124.087,135.652,249.063,EVOLVING
9,124.087,135.652,249.063,EVOLVING
10,249.063,249.063,249.063,EVOLVING
11,249.063,249.063,249.063,EVOLVING
12,249.063,249.063,249.063,EVOLVING
13,249.063,249.063,249.063,EVOLVING
14,249.063,249.063,249.063,EVOLVING
15,249.063,249.063,249.063,EVOLVING
16,249.063,249.063,249.063,EVOLVING
17,249.063,249.063,249.063,EVOLVING
18,249.063,249.063,249.063,EVOLVING
19,249.063,249.063,249.063,EVOLVING
20,345.825,569.152,1166.968,EVOLVING
21,345.825,569.152,1166.968,EVOLVING
22,1166.968,1166.968,1166.968,EVOLVING
23,1166.968,1166.968,1166.968,EVOLVING
24,1166.968,1166.968,1166.968,EVOLVING
25,1166.968,1166.968,1166.968,EVOLVING
26,1166.968,1166.968,1166.968,EVOLVING
27,1166.968,1166.968,1166.968,EVOLVING
28,1166.968,1166.968,1166.968,EVOLVING
29,1166.968,1166.968,1166.968,EVOLVING
30,1166.968,1166.968,1166.968,EVOLVING
