Generation,Island_Alpha_Peak_MS,Island_Beta_Peak_MS,Island_Gamma_Peak_MS,Status
1,28.501,136.964,0.0,EVOLVING
2,88.249,136.964,0.0,EVOLVING
3,88.249,136.964,0.0,EVOLVING
4,136.964,136.964,136.964,EVOLVING
5,136.964,136.964,136.964,EVOLVING
6,136.964,136.964,136.964,EVOLVING
7,136.964,136.964,136.964,EVOLVING
8,136.964,136.964,136.964,EVOLVING
9,136.964,136.964,136.964,EVOLVING
10,136.964,136.964,136.964,EVOLVING
11,136.964,136.964,136.964,EVOLVING
12,136.964,136.964,136.964,EVOLVING
13,136.964,136.964,136.964,EVOLVING
14,136.964,136.964,136.964,EVOLVING
15,136.964,136.964,136.964,EVOLVING
16,136.964,136.964,136.964,EVOLVING
17,136.964,136.964,136.964,EVOLVING
18,136.964,136.964,136.964,EVOLVING
19,136.964,136.964,136.964,EVOLVING
20,136.964,136.964,136.964,EVOLVING
21,136.964,136.964,136.964,EVOLVING
22,136.964,136.964,136.964,EVOLVING
23,136.964,136.964,136.964,EVOLVING
24,136.964,136.964,136.964,EVOLVING
25,136.964,136.964,136.964,EVOLVING
26,136.964,136.964,136.964,EVOLVING
27,136.964,136.964,136.964,EVOLVING
28,136.964,136.964,136.964,EVOLVING
29,136.964,136.964,136.964,EVOLVING
30,136.964,136.964,136.964,EVOLVING
