Generation,Island_Alpha_Peak_MS,Island_Beta_Peak_MS,Island_Gamma_Peak_MS,Status
1,10.624,151.777,12.429,EVOLVING
2,19.469,151.777,26.777,EVOLVING
3,19.469,151.777,26.777,EVOLVING
4,151.777,151.777,151.777,EVOLVING
5,151.777,151.777,151.777,EVOLVING
6,151.777,151.777,151.777,EVOLVING
7,151.777,151.777,151.777,EVOLVING
8,151.777,151.777,151.777,EVOLVING
9,151.777,151.777,151.777,EVOLVING
10,151.777,151.777,151.777,EVOLVING
11,151.777,151.777,151.777,EVOLVING
12,151.777,151.777,151.777,EVOLVING
13,151.777,151.777,151.777,EVOLVING
14,151.777,151.777,151.777,EVOLVING
15,151.777,151.777,151.777,EVOLVING
16,151.777,151.777,151.777,EVOLVING
17,151.777,151.777,151.777,EVOLVING
