Generation,Island_Alpha_Peak_MS,Island_Beta_Peak_MS,Island_Gamma_Peak_MS,Status
1,11.382,90.384,12.567,EVOLVING
2,14.292,90.384,25.894,EVOLVING
3,15.229,90.384,25.894,EVOLVING
4,90.384,90.384,90.384,EVOLVING
5,90.384,90.384,90.384,EVOLVING
6,90.384,90.384,90.384,EVOLVING
7,90.384,90.384,90.384,EVOLVING
8,90.384,90.384,90.384,EVOLVING
9,90.384,90.384,90.384,EVOLVING
10,90.384,90.384,90.384,EVOLVING
11,90.384,90.384,90.384,EVOLVING
12,90.384,90.384,90.384,EVOLVING
13,90.384,90.384,90.384,EVOLVING
14,90.384,90.384,90.384,EVOLVING
15,90.384,90.384,90.384,EVOLVING
16,90.384,90.384,90.384,EVOLVING
17,90.384,90.384,90.384,EVOLVING
18,90.384,90.384,90.384,EVOLVING
19,90.384,90.384,90.384,EVOLVING
20,90.384,90.384,90.384,EVOLVING
21,90.384,90.384,90.384,EVOLVING
22,90.384,90.384,90.384,EVOLVING
23,90.384,90.384,90.384,EVOLVING
24,90.384,90.384,90.384,EVOLVING
25,90.384,90.384,90.384,EVOLVING
26,90.384,90.384,90.384,EVOLVING
27,90.384,90.384,90.384,EVOLVING
28,90.384,90.384,90.384,EVOLVING
29,90.384,90.384,90.384,EVOLVING
30,90.384,90.384,90.384,EVOLVING
